iter	RMSE
0	864072.034
1	831056.3453
2	799652.9146
3	771189.659
4	744562.7118
5	717934.3052
6	694168.6982
7	670100.1789
8	649312.8621
9	629177.4089
10	609067.4817
11	591060.5698
12	573168.4901
13	557091.5928
14	543088.7549
15	529880.1933
16	518336.3895
17	507513.0619
18	505162.4814
19	502862.082
20	491815.6925
21	489255.1035
22	480693.4137
23	478036.9923
24	475673.8747
25	469884.674
26	463877.7195
27	461714.172
28	454463.1961
29	452341.0919
30	450193.3932
31	444836.6377
32	443097.1094
33	441197.4324
34	439140.3904
35	437527.1421
36	435949.8583
37	427720.7809
38	421070.8943
39	419318.0581
40	417734.7673
41	410655.9818
42	409263.7774
43	407816.3906
44	406514.9804
45	401677.3832
46	395691.3422
47	394240.9485
48	392944.1128
49	391679.4852
50	390539.9303
51	386219.6821
52	385141.6248
53	383844.1356
54	382649.5579
55	377100.3971
56	374286.3128
57	373316.6835
58	369005.2849
59	368093.386
60	367063.8362
61	361349.9011
62	360415.7579
63	359530.4969
64	355738.134
65	354826.3411
66	354065.1033
67	353298.5085
68	352579.5211
69	350379.3249
70	349469.6417
71	345073.1422
72	341142.0637
73	340314.6397
74	337109.2485
75	336495.6276
76	333442.7968
77	332767.6198
78	331151.5858
79	329111.067
80	327777.1964
81	327255.9968
82	326714.7322
83	323257.8893
84	322777.0215
85	319950.1291
86	319348.8752
87	318894.3595
88	318121.7108
89	317695.4165
90	316406.8508
91	314507.8168
92	313408.4713
93	310259.4266
94	309798.9395
95	306404.8063
96	305843.5878
97	304895.0279
98	303503.0313
99	303139.1409
100	302738.5603
101	299110.6903
102	298808.0664
103	297051.9561
104	296767.1974
105	294856.4864
106	292922.1721
107	292594.3335
108	290632.0026
109	289858.9597
110	287875.9038
111	286132.8119
112	283873.7393
113	281862.7762
114	281259.8587
115	281007.2965
116	278506.6495
117	278127.5108
118	277932.0189
119	277670.9593
120	276568.5879
121	275783.9649
122	273739.8879
123	271808.9844
124	271602.529
125	270567.4032
126	270414.7331
127	270266.1913
128	269599.699
129	268051.8815
130	266308.2175
131	265455.3295
132	263926.7881
133	263534.4662
134	261929.0716
135	260873.3535
136	259207.4744
137	258987.8245
138	257502.6764
139	257016.0014
140	256873.9407
141	255686.9765
142	255140.8532
143	254825.7164
144	254280.209
145	253340.7096
146	252565.0579
147	251671.6054
148	251002.6312
149	250267.7651
150	249862.232
151	248591.3379
152	247596.0621
153	246559.8274
154	245609.8941
155	245313.3814
156	244801.0883
157	243908.3566
158	243030.5936
159	242678.9817
160	242365.024
161	241883.7382
162	241594.5287
163	240632.7336
164	239779.4695
165	238907.7305
166	237991.1223
167	237048.1783
168	236074.2816
169	235244.3398
170	234670.4573
171	233919.1896
172	232778.3588
173	231814.9483
174	230541.7165
175	229681.1933
176	228774.5116
177	227768.1643
178	226638.7793
179	225921.505
180	225138.2481
181	224379.3984
182	223549.229
183	222544.033
184	222058.1744
185	221494.7862
186	220980.2223
187	220464.0244
188	220007.4153
189	219326.1438
190	218684.2583
191	217853.3827
192	217133.318
193	216589.2368
194	216290.4654
195	215851.6243
196	215054.6183
197	214248.6317
198	213814.6441
199	213280.5073
200	212815.099
201	212519.9683
202	211819.0667
203	211270.1269
204	210831.7654
205	210535.9469
206	210112.5226
207	209340.7526
208	208761.5255
209	208004.8016
210	207520.5435
211	207006.0793
212	206149.8122
213	205525.8488
214	204945.304
215	204627.0962
216	204270.8089
217	203704.5358
218	203452.614
219	202878.9635
220	202224.3874
221	201900.3684
222	201351.8169
223	200919.5735
224	200527.8001
225	199737.7613
226	199324.5184
227	198897.571
228	198681.1525
229	198267.1489
230	197690.3892
231	196986.3792
232	196681.8069
233	196358.27
234	195859.4631
235	195292.8339
236	195036.3906
237	194639.0884
238	194515.7319
239	193884.9967
240	193409.8284
241	193011.7147
242	192682.5798
243	192458.1155
244	192282.9328
245	191811.2234
246	191284.8285
247	190896.8274
248	190635.7561
249	190228.5258
250	189848.1937
251	189531.5279
252	189331.9538
253	189141.2401
254	188793.588
255	188577.1235
256	187967.1657
257	187750.0283
258	187565.4913
259	187399.8009
260	187128.0411
261	186655.4185
262	186388.7833
263	186046.8486
264	185520.1327
265	185241.8225
266	184938.7066
267	184471.0408
268	184109.3927
269	184022.3534
270	183757.1532
271	183636.3611
272	183395.1815
273	183153.0972
274	182855.2188
275	182415.8405
276	181928.7328
277	181708.3465
278	181635.5562
279	181548.5044
280	181326.5861
281	180967.4346
282	180866.9709
283	180654.3493
284	180515.3114
285	180225.6729
286	180010.8005
287	179604.8002
288	179456.6043
289	179115.4542
290	178873.6844
291	178630.2125
292	178482.5723
293	178231.1784
294	178162.4632
295	177979.9689
296	177756.7847
297	177486.0712
298	177174.0586
299	176962.592
300	176844.587
301	176294.752
302	176202.3322
303	176010.3015
304	175803.6942
305	175461.139
