iter	Passed	Remaining
0	3	3249
1	6	3072
2	9	3024
3	12	3013
4	15	2988
5	17	2973
6	20	2963
7	23	2957
8	26	2961
9	29	2956
10	32	2959
11	35	2950
12	38	2935
13	41	2926
14	44	2920
15	47	2911
16	50	2906
17	53	2898
18	55	2865
19	57	2833
20	60	2835
21	63	2843
22	66	2841
23	69	2825
24	71	2791
25	74	2775
26	76	2765
27	79	2776
28	82	2754
29	84	2746
30	87	2737
31	90	2731
32	92	2697
33	95	2703
34	98	2702
35	100	2704
36	104	2718
37	107	2721
38	110	2724
39	113	2717
40	115	2708
41	118	2700
42	120	2690
43	123	2683
44	125	2656
45	128	2662
46	131	2661
47	133	2652
48	136	2644
49	138	2636
50	140	2619
51	143	2623
52	146	2615
53	149	2614
54	151	2610
55	154	2608
56	157	2606
57	160	2606
58	163	2601
59	165	2596
60	168	2590
61	171	2587
62	173	2585
63	176	2583
64	179	2579
65	181	2575
66	183	2556
67	186	2553
68	187	2535
69	190	2531
70	193	2527
71	195	2522
72	198	2517
73	200	2513
74	203	2509
75	206	2508
76	209	2505
77	211	2501
78	214	2496
79	216	2492
80	219	2487
81	221	2485
82	224	2481
83	227	2476
84	228	2460
85	231	2456
86	234	2456
87	236	2454
88	239	2452
89	242	2449
90	245	2448
91	247	2445
92	250	2442
93	253	2441
94	256	2439
95	258	2436
96	260	2426
97	263	2422
98	265	2419
99	268	2415
100	271	2414
101	274	2414
102	276	2406
103	278	2403
104	281	2399
105	284	2396
106	286	2394
107	289	2391
108	292	2388
109	294	2383
110	297	2380
111	299	2376
112	302	2374
113	305	2372
114	307	2369
115	310	2365
116	313	2362
117	315	2359
118	318	2357
119	321	2354
120	324	2355
121	327	2355
122	330	2354
123	332	2351
124	335	2349
125	338	2346
126	340	2343
127	343	2339
128	345	2335
129	348	2332
130	351	2330
131	354	2330
132	357	2329
133	360	2328
134	362	2325
135	365	2323
136	368	2323
137	371	2321
138	374	2320
139	377	2320
140	380	2320
141	384	2320
142	386	2319
143	389	2316
144	392	2313
145	394	2309
146	397	2306
147	400	2303
148	402	2300
149	405	2297
150	407	2291
151	410	2288
152	412	2284
153	415	2281
154	418	2281
155	421	2278
156	423	2275
157	426	2271
158	428	2268
159	431	2262
160	433	2260
161	436	2257
162	439	2254
163	442	2253
164	444	2251
165	447	2249
166	450	2246
167	453	2243
168	455	2241
169	458	2238
170	461	2235
171	463	2232
172	466	2229
173	469	2227
174	471	2225
175	474	2222
176	477	2219
177	480	2217
178	483	2215
179	485	2213
180	488	2211
181	491	2209
182	494	2207
183	497	2206
184	500	2205
185	503	2203
186	506	2202
187	509	2199
188	512	2197
189	514	2194
190	517	2193
191	520	2190
192	523	2188
193	526	2185
194	528	2182
195	531	2179
196	533	2176
197	536	2172
198	539	2169
199	541	2166
200	544	2162
201	546	2160
202	549	2157
203	552	2154
204	554	2151
205	557	2148
206	560	2145
207	563	2144
208	565	2141
209	568	2138
210	570	2134
211	573	2131
212	576	2128
213	578	2125
214	581	2123
215	584	2121
216	587	2118
217	589	2115
218	592	2112
219	595	2110
220	597	2107
221	600	2105
222	603	2102
223	606	2099
224	608	2097
225	611	2094
226	614	2091
227	616	2089
228	619	2086
229	622	2083
230	625	2080
231	627	2077
232	630	2074
233	632	2070
234	634	2067
235	637	2063
236	639	2060
237	642	2057
238	645	2054
239	647	2051
240	650	2048
241	653	2045
242	655	2042
243	658	2039
244	660	2036
245	663	2033
246	666	2031
247	668	2028
248	671	2025
249	674	2024
250	677	2022
251	680	2020
252	683	2017
253	685	2014
254	688	2012
255	691	2009
256	694	2007
257	697	2004
258	699	2001
259	702	1999
260	705	1996
261	707	1994
262	710	1991
263	713	1988
264	715	1985
265	718	1983
266	721	1980
267	724	1978
268	726	1975
269	729	1972
270	732	1969
271	735	1967
272	738	1965
273	741	1963
274	743	1961
275	746	1958
276	749	1957
277	753	1956
278	756	1954
279	759	1951
280	761	1949
281	764	1946
282	767	1944
283	770	1941
284	772	1938
285	775	1935
286	777	1932
287	780	1929
288	782	1926
289	785	1923
290	788	1920
291	791	1918
292	793	1915
293	796	1913
294	799	1909
295	802	1907
296	804	1904
297	807	1902
298	810	1899
299	812	1896
300	815	1893
301	817	1890
302	820	1886
303	822	1883
304	825	1880
305	827	1877
306	830	1874
307	832	1871
308	835	1868
309	838	1865
310	840	1862
311	843	1859
312	846	1857
313	848	1854
314	851	1852
315	854	1849
316	857	1846
317	859	1843
318	862	1840
319	864	1837
320	867	1835
321	870	1832
322	872	1829
323	875	1826
324	878	1824
325	881	1821
326	883	1819
327	886	1816
328	889	1814
329	892	1811
330	894	1808
331	897	1805
332	900	1802
333	902	1800
334	905	1797
335	908	1794
336	910	1791
337	913	1789
338	916	1786
339	918	1783
340	921	1780
341	923	1777
342	926	1774
343	928	1771
344	931	1768
345	934	1765
346	936	1762
347	939	1759
348	941	1756
349	944	1754
350	947	1751
351	950	1749
352	952	1746
353	955	1743
354	958	1740
355	961	1738
356	963	1736
357	966	1733
358	969	1731
359	972	1728
360	974	1725
361	977	1723
362	980	1720
363	983	1718
364	986	1715
365	988	1712
366	991	1709
367	994	1707
368	996	1704
369	999	1701
370	1001	1698
371	1004	1695
372	1006	1692
373	1009	1689
374	1012	1686
375	1014	1683
376	1017	1680
377	1019	1678
